Trip_Num,From_TAZ,To_TAZ
4764,65cc2c8205a05d7379fa3a6386f710e1,93d65641ff3f1586614cf2c1ad240b6c
2763,82b8a3434904411a9fdc43ca87cee70c,db576a7d2453575f29eab4bac787b919
2664,7f975a56c761db6506eca0b37ce6ec87,84d2004bf28a2095230e8e14993d398d
2231,ef50c335cca9f340bde656363ebd02fd,84d2004bf28a2095230e8e14993d398d
1937,65cc2c8205a05d7379fa3a6386f710e1,db576a7d2453575f29eab4bac787b919
1790,93d65641ff3f1586614cf2c1ad240b6c,db576a7d2453575f29eab4bac787b919
1502,93d65641ff3f1586614cf2c1ad240b6c,84d2004bf28a2095230e8e14993d398d
1220,a0e2a2c563d57df27213ede1ac4ac780,db576a7d2453575f29eab4bac787b919
1177,65cc2c8205a05d7379fa3a6386f710e1,a0e2a2c563d57df27213ede1ac4ac780
1049,65cc2c8205a05d7379fa3a6386f710e1,84d2004bf28a2095230e8e14993d398d
904,021bbc7ee20b71134d53e20206bd6feb,db576a7d2453575f29eab4bac787b919
904,65cc2c8205a05d7379fa3a6386f710e1,82b8a3434904411a9fdc43ca87cee70c
824,24146db4eb48c718b84cae0a0799dcfc,db576a7d2453575f29eab4bac787b919
799,021bbc7ee20b71134d53e20206bd6feb,84d2004bf28a2095230e8e14993d398d
696,84d2004bf28a2095230e8e14993d398d,e515df0d202ae52fcebb14295743063b
667,84d2004bf28a2095230e8e14993d398d,a0e2a2c563d57df27213ede1ac4ac780
613,456ac9b0d15a8b7f1e71073221059886,db576a7d2453575f29eab4bac787b919
599,84d2004bf28a2095230e8e14993d398d,db576a7d2453575f29eab4bac787b919
598,65cc2c8205a05d7379fa3a6386f710e1,456ac9b0d15a8b7f1e71073221059886
517,0768281a05da9f27df178b5c39a51263,84d2004bf28a2095230e8e14993d398d
517,0768281a05da9f27df178b5c39a51263,db576a7d2453575f29eab4bac787b919
510,db576a7d2453575f29eab4bac787b919,a2137a2ae8e39b5002a3f8909ecb88fe
486,65cc2c8205a05d7379fa3a6386f710e1,299a23a2291e2126b91d54f3601ec162
475,65cc2c8205a05d7379fa3a6386f710e1,0768281a05da9f27df178b5c39a51263
444,65cc2c8205a05d7379fa3a6386f710e1,021bbc7ee20b71134d53e20206bd6feb
437,7f975a56c761db6506eca0b37ce6ec87,db576a7d2453575f29eab4bac787b919
437,3806734b256c27e41ec2c6bffa26d9e7,db576a7d2453575f29eab4bac787b919
427,b9141aff1412dc76340b3822d9ea6c72,db576a7d2453575f29eab4bac787b919
426,83fa5a432ae55c253d0e60dbfa716723,db576a7d2453575f29eab4bac787b919
415,65cc2c8205a05d7379fa3a6386f710e1,3806734b256c27e41ec2c6bffa26d9e7
404,db576a7d2453575f29eab4bac787b919,80f24ef493982c552b6943f1411f7e2c
397,883e881bb4d22a7add958f2d6b052c9f,84d2004bf28a2095230e8e14993d398d
366,1019c8091693ef5c5f55970346633f92,db576a7d2453575f29eab4bac787b919
364,ef50c335cca9f340bde656363ebd02fd,65cc2c8205a05d7379fa3a6386f710e1
352,537d9b6c927223c796cac288cced29df,db576a7d2453575f29eab4bac787b919
346,03e0704b5690a2dee1861dc3ad3316c9,db576a7d2453575f29eab4bac787b919
337,f33ba15effa5c10e873bf3842afb46a6,db576a7d2453575f29eab4bac787b919
333,65cc2c8205a05d7379fa3a6386f710e1,4a08142c38dbe374195d41c04562d9f8
332,65cc2c8205a05d7379fa3a6386f710e1,1579779b98ce9edb98dd85606f2c119d
330,7f975a56c761db6506eca0b37ce6ec87,65cc2c8205a05d7379fa3a6386f710e1
316,1579779b98ce9edb98dd85606f2c119d,db576a7d2453575f29eab4bac787b919
310,84d2004bf28a2095230e8e14993d398d,995e1fda4a2b5f55ef0df50868bf2a8f
303,2387337ba1e0b0249ba90f55b2ba2521,db576a7d2453575f29eab4bac787b919
302,9246444d94f081e3549803b928260f56,db576a7d2453575f29eab4bac787b919
301,84d2004bf28a2095230e8e14993d398d,b9141aff1412dc76340b3822d9ea6c72
301,65cc2c8205a05d7379fa3a6386f710e1,24146db4eb48c718b84cae0a0799dcfc
299,db576a7d2453575f29eab4bac787b919,ebb71045453f38676c40deb9864f811d
294,84d2004bf28a2095230e8e14993d398d,1579779b98ce9edb98dd85606f2c119d
289,65cc2c8205a05d7379fa3a6386f710e1,b9141aff1412dc76340b3822d9ea6c72
283,84d2004bf28a2095230e8e14993d398d,80f24ef493982c552b6943f1411f7e2c
281,5055cbf43fac3f7e2336b27310f0b9ef,db576a7d2453575f29eab4bac787b919
278,db576a7d2453575f29eab4bac787b919,46072631582fc240dd2674a7d063b040
277,fba9d88164f3e2d9109ee770223212a0,65cc2c8205a05d7379fa3a6386f710e1
275,db576a7d2453575f29eab4bac787b919,299a23a2291e2126b91d54f3601ec162
272,84d2004bf28a2095230e8e14993d398d,456ac9b0d15a8b7f1e71073221059886
271,ef50c335cca9f340bde656363ebd02fd,db576a7d2453575f29eab4bac787b919
271,58c54802a9fb9526cd0923353a34a7ae,db576a7d2453575f29eab4bac787b919
269,fed33392d3a48aa149a87a38b875ba4a,db576a7d2453575f29eab4bac787b919
269,65cc2c8205a05d7379fa3a6386f710e1,80f24ef493982c552b6943f1411f7e2c
265,24146db4eb48c718b84cae0a0799dcfc,84d2004bf28a2095230e8e14993d398d
250,1587965fb4d4b5afe8428a4a024feb0d,db576a7d2453575f29eab4bac787b919
250,db576a7d2453575f29eab4bac787b919,4a08142c38dbe374195d41c04562d9f8
250,db576a7d2453575f29eab4bac787b919,43dd49b4fdb9bede653e94468ff8df1e
242,db576a7d2453575f29eab4bac787b919,ebd6d2f5d60ff9afaeda1a81fc53e2d0
